,impactCategory,impactCategory_definition,impactCategory_unit,impactCategory_abbreviation,impactCategory_reference,impactCategory_source
18,"Human toxicity, non-canc. (recommended and interim)",A measure of toxic emissions that are directly harmful to the health of humans. Human effect factors relate the quantity taken in to the potential risk of cancerous and non-cancerous effects expressing cases per kg of chemical emitted. The final unit is comparative toxic units (CTUh).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes both the recommend and interm characterization factors from the USEtox methdology related to non-carcenogenic toxic emissions.,CTUh,HTP,"Rosenbaum RK, Bachmann TK, Gold LS, Huijbregts MAJ, Jolliet O, Juraske R, Koehler A, Larsen HF, MacLeod M, Margni M, McKone TE, Payet J, Schuhmacher M, Van de Meent D and Hauschild MZ (2008), USEtox - The UNEP/SETAC-consensus model: recommended characterisation factors for human toxicity and freshwater ecotoxicity in Life Cycle Impact Assessment. International Journal of Life Cycle Assessment 13(7): 532-546. ",USEtox 2.0
19,"Human toxicity, non-canc. (recommended only)",A measure of toxic emissions that are directly harmful to the health of humans. Human effect factors relate the quantity taken in to the potential risk of cancerous and non-cancerous effects expressing cases per kg of chemical emitted. The final unit is comparative toxic units (CTUh).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes only the recommend characterization factors from the USEtox methdology related to non-carcenogenic toxic emissions.,CTUh,HTP,"Rosenbaum RK, Bachmann TK, Gold LS, Huijbregts MAJ, Jolliet O, Juraske R, Koehler A, Larsen HF, MacLeod M, Margni M, McKone TE, Payet J, Schuhmacher M, Van de Meent D and Hauschild MZ (2008), USEtox - The UNEP/SETAC-consensus model: recommended characterisation factors for human toxicity and freshwater ecotoxicity in Life Cycle Impact Assessment. International Journal of Life Cycle Assessment 13(7): 532-546. ",USEtox 2.0
20,"Human toxicity, non-canc. (recommended)","A measure of toxic emissions that are directly harmful to the health of humans. Human effect factors relate the quantity taken in to the potential risk of cancerous and non-cancerous effects expressing cases per kg of chemical emitted. The final unit is comparative toxic units (CTUh).  The interim factors are estimated with a higher degree of uncertainty than the recommended and should be used with caution. If interim factors are dominating the result of a Life Cycle Assessment a sensitivity analysis should be carried out.  This specific category includes only the recommend characterization factors from the USEtox methdology related to carcenogenic toxic emissions.  The TRACI 2.1 methdology has simply adopted the USEtox characterization factors, though a previous version to USEtox 2.0.",CTUh,HTP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
21,low characterization factor for unspecified water,"The WSI is based on the water consumption, i.e. the same calculation logic (inputs – degradative outputs) applies.  However, in these quantities the flows are also multiplied with the country specific characterization factors. For WSI, the resulting unit is water deprivation (in m³) or “RED” water (Relevant environmental depletion) and thus is a negative value.  For more clarity see ""Introduction to Water Assessment v2.2"", excerpt from 5.2 - ""The WSI and AWaRe quantities exist in three different versions, with a high, OECD+BRIC average, and low characterization factor for unspecified water. In these quantities, all characterization factors are the same, except those for the unspecified (non-regionalized) flows. As described in section 4.2, the unspecified (non-regionalized) flows are still used in many data sets. For those flows, different characterization factors are used in the different quantities. In the version “high”, the unspecified flows are characterized with a high scarcity factor - choosing this quantity assumes “unspecified water” is consumed in water stressed regions, such as the Middle East or Spain. The “OECD+BRIC average” version refers to the average water scarcity in the OECD + BRIC countries. This value was preferred over the global average (all countries) as the OECD + BRIC represent the majority of worldwide economic activity. The “low” version represents less water stressed countries, such as in North-Western Europe.""",m3 equivalent,-,"Ridoutt, B.; Pfister, S. (2010): A revised approach to water footprinting to make transparent the impacts of consumption and production on global freshwater scarcity. Global Environmental Change 20 (2010), 113–120",WSI
22,OECD+BRIC average for unspecified water,"The WSI is based on the water consumption, i.e. the same calculation logic (inputs – degradative outputs) applies.  However, in these quantities the flows are also multiplied with the country specific characterization factors. For WSI, the resulting unit is water deprivation (in m³) or “RED” water (Relevant environmental depletion) and thus is a negative value.  For more clarity see ""Introduction to Water Assessment v2.2"", excerpt from 5.2 - ""The WSI and AWaRe quantities exist in three different versions, with a high, OECD+BRIC average, and low characterization factor for unspecified water. In these quantities, all characterization factors are the same, except those for the unspecified (non-regionalized) flows. As described in section 4.2, the unspecified (non-regionalized) flows are still used in many data sets. For those flows, different characterization factors are used in the different quantities. In the version “high”, the unspecified flows are characterized with a high scarcity factor - choosing this quantity assumes “unspecified water” is consumed in water stressed regions, such as the Middle East or Spain. The “OECD+BRIC average” version refers to the average water scarcity in the OECD + BRIC countries. This value was preferred over the global average (all countries) as the OECD + BRIC represent the majority of worldwide economic activity. The “low” version represents less water stressed countries, such as in North-Western Europe.""",m3 equivalent,-,"Ridoutt, B.; Pfister, S. (2010): A revised approach to water footprinting to make transparent the impacts of consumption and production on global freshwater scarcity. Global Environmental Change 20 (2010), 113–120",WSI
23,Ozone Depletion Air,A measure of air emissions that contribute to the depletion of the stratospheric ozone layer. Depletion of the ozone layer leads to higher levels of UVB ultraviolet rays reaching the earth’s surface with detrimental effects on humans and plants.,kg CFC-11 equivalent,ODP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
24,Primary energy demand from ren. and non ren. resources (gross cal. value),"A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ (higher heating value),-,,thinkstep
25,Primary energy demand from ren. and non ren. resources (net cal. value),"A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ (lower heating value),PERNRT,,thinkstep
26,Primary energy from non renewable resources (gross cal. value),"A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ (higher heating value),-,,thinkstep
27,Primary energy from non renewable resources (net cal. value),"A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ (lower heating value),PENRT,,thinkstep
28,Primary energy from renewable resources (gross cal. value),"A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ (higher heating value),-,,thinkstep
29,Primary energy from renewable resources (net cal. value),"A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ (lower heating value),PERT,,thinkstep
30,"Resources, Fossil fuels","A measure of the total amount of primary energy extracted from the earth. PED is expressed in energy demand from non-renewable resources (e.g. petroleum, natural gas, etc.) and energy demand from renewable resources (e.g. hydropower, wind energy, solar, etc.). Efficiencies in energy conversion (e.g. power, heat, steam, etc.) are taken into account. ",MJ,,,
31,Smog Air,"A measure of emissions of precursors that contribute to ground level smog formation (mainly ozone O3), produced by the reaction of VOC and carbon monoxide in the presence of nitrogen oxides under the influence of UV light. Ground level ozone may be injurious to human health and ecosystems and may also damage crops.",kg O3 equivalent,SP or SFP,"Bare, J. (2012) TRACI 2.1: the tool for the reduction and assessment of chemical and other environmental impacts 2.1",TRACI 2.1
32,Total freshwater consumption (including rainwater),"Freshwater refers to surface, ground water (blue water) and rain water (green water). Rain water is typically excluded from the assessment of freshwater consumption and though this category includes it.    Water consumption is typically defined as ""water removed from, but not returned to the same drainage basin. Water consumption can be because of evaporation, transpiration, product integration or release into a different drainage basin or the sea. Evaporation from reservoirs is considered water consumption.""  In GaBi, this is calculated by  total freshwater use (water input) – total freshwater release back to watershed (degradative water outputs). ",kg,,"Pieper M, Kupfer T, Thylmann D, Bos U (2018) Introduction to Water Assessment in GaBi. February 2018 V2.2",thinkstep
33,Total freshwater use,"Total freshwater use refers to the water use (inputs only) from surface, ground and rain water.  Water use generally is defined as the ""use of water by human activity. Use includes, but is not limited to, any water withdrawal within the drainage basin impacting water flows and quality"".  The water input flows in GaBi refer to total water use. To quantify total freshwater use, all freshwater input flows are summed up.",kg,,"Pieper M, Kupfer T, Thylmann D, Bos U (2018) Introduction to Water Assessment in GaBi. February 2018 V2.2",thinkstep
