material,LCstage,disposition,impactCategory,impactUnits,impactFactor
Cardboard/Kraft,Production,Production,Total freshwater consumption (including rainwater),kg,101388.6422
FoodWaste,Production,Composting,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-3963.416211
FoodWaste,Production,Composting,Acidification,kg SO2 eq.,0.263085144
FoodWaste,Production,Composting,Ecotoxicity (recommended),CTUe,2135.663861
FoodWaste,Production,Composting,Eutrophication,kg N eq.,0.013730616
FoodWaste,Production,Composting,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,533.7707173
FoodWaste,Production,Composting,Human Health Particulate Air,kg PM2.5 eq.,-0.110306629
FoodWaste,Production,Composting,"Human toxicity, cancer (recommended)",CTUh,6.28E-07
FoodWaste,Production,Composting,"Human toxicity, non-canc. (recommended)",CTUh,0.001769581
FoodWaste,Production,Composting,Ozone Depletion Air,kg CFC 11 eq.,-1.62E-10
FoodWaste,Production,Composting,"Resources, Fossil fuels",MJ surplus energy,-28.96162547
FoodWaste,Production,Composting,Smog Air,kg O3 eq.,-0.809296238
FoodWaste,Production,Composting,Total freshwater consumption (including rainwater),kg,-545.181372
FoodWaste,Production,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,893.2688559
FoodWaste,Production,Combustion,Acidification,kg SO2 eq.,0.537708472
FoodWaste,Production,Combustion,Ecotoxicity (recommended),CTUe,2.033628458
FoodWaste,Production,Combustion,Eutrophication,kg N eq.,0.033586032
FoodWaste,Production,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,630.5859263
FoodWaste,Production,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.037600451
FoodWaste,Production,Combustion,"Human toxicity, cancer (recommended)",CTUh,3.94E-08
FoodWaste,Production,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,3.62E-06
FoodWaste,Production,Combustion,Ozone Depletion Air,kg CFC 11 eq.,4.75E-09
FoodWaste,Production,Combustion,"Resources, Fossil fuels",MJ surplus energy,106.9636355
FoodWaste,Production,Combustion,Smog Air,kg O3 eq.,14.81447201
FoodWaste,Production,Combustion,Total freshwater consumption (including rainwater),kg,2070.575406
FoodWaste,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,358.1466001
FoodWaste,EOL,Landfilling,Acidification,kg SO2 eq.,3.028373323
FoodWaste,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.601142497
FoodWaste,EOL,Landfilling,Eutrophication,kg N eq.,1.583694395
FoodWaste,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,426.5337781
FoodWaste,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.153878115
FoodWaste,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,2.05E-07
FoodWaste,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,2.00E-05
FoodWaste,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,-8.18E-10
FoodWaste,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,62.50044262
FoodWaste,EOL,Landfilling,Smog Air,kg O3 eq.,6.783977384
FoodWaste,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-598.7855038
FoodWaste,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,37482.19494
FoodWaste,Production,Production,Acidification,kg SO2 eq.,15.62044599
FoodWaste,Production,Production,Ecotoxicity (recommended),CTUe,12698.81685
FoodWaste,Production,Production,Eutrophication,kg N eq.,16.37648074
FoodWaste,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,278.5200265
FoodWaste,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,2.645130126
FoodWaste,Production,Production,"Human toxicity, cancer (recommended)",CTUh,5.90E-05
FoodWaste,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,-3.23E-05
FoodWaste,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,8.90E-05
FoodWaste,Production,Production,"Resources, Fossil fuels",MJ surplus energy,990.3717394
FoodWaste,Production,Production,Smog Air,kg O3 eq.,85.90103898
FoodWaste,Production,Production,Total freshwater consumption (including rainwater),kg,133979.8789
Electronics,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Electronics,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Electronics,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Electronics,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Electronics,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Electronics,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Electronics,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Electronics,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Electronics,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Electronics,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Electronics,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Electronics,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Electronics,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Electronics,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Electronics,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Electronics,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Electronics,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Electronics,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Electronics,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Electronics,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Electronics,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Electronics,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Electronics,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Electronics,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Electronics,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-2087.587169
Electronics,EOL,Recycling,Acidification,kg SO2 eq.,-0.844900569
Electronics,EOL,Recycling,Ecotoxicity (recommended),CTUe,-73.75666764
Electronics,EOL,Recycling,Eutrophication,kg N eq.,-0.07082138
Electronics,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-150.0946511
Electronics,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-4.117517809
Electronics,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.09E-07
Electronics,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,0.000109384
Electronics,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,-9.63E-07
Electronics,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-137.0894116
Electronics,EOL,Recycling,Smog Air,kg O3 eq.,-11.43873859
Electronics,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-1122.342833
Electronics,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,13716.03497
Electronics,Production,Production,Acidification,kg SO2 eq.,7.824348614
Electronics,Production,Production,Ecotoxicity (recommended),CTUe,3665.256477
Electronics,Production,Production,Eutrophication,kg N eq.,1.758919528
Electronics,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,891.2260271
Electronics,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,1.375933952
Electronics,Production,Production,"Human toxicity, cancer (recommended)",CTUh,3.41E-05
Electronics,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.000217074
Electronics,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,0.000116206
Electronics,Production,Production,"Resources, Fossil fuels",MJ surplus energy,1422.528657
Electronics,Production,Production,Smog Air,kg O3 eq.,76.14112749
Electronics,Production,Production,Total freshwater consumption (including rainwater),kg,6764.870344
Paper Fiber,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Paper Fiber,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Paper Fiber,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Paper Fiber,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Paper Fiber,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Paper Fiber,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Paper Fiber,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Paper Fiber,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Paper Fiber,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Paper Fiber,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Paper Fiber,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Paper Fiber,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Paper Fiber,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Paper Fiber,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Paper Fiber,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Paper Fiber,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Paper Fiber,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Paper Fiber,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Paper Fiber,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Paper Fiber,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Paper Fiber,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Paper Fiber,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Paper Fiber,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Paper Fiber,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Paper Fiber,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-30251.28191
Paper Fiber,EOL,Recycling,Acidification,kg SO2 eq.,-16.06463206
Paper Fiber,EOL,Recycling,Ecotoxicity (recommended),CTUe,-12.40291251
Paper Fiber,EOL,Recycling,Eutrophication,kg N eq.,-0.207070163
Paper Fiber,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-2095.081959
Paper Fiber,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-2.794975042
Paper Fiber,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.23E-05
Paper Fiber,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,-0.002618533
Paper Fiber,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,2.66E-08
Paper Fiber,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-475.2210651
Paper Fiber,EOL,Recycling,Smog Air,kg O3 eq.,-114.5623099
Paper Fiber,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-72539.70878
Paper Fiber,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,73366.80729
Paper Fiber,Production,Production,Acidification,kg SO2 eq.,25.89418936
Paper Fiber,Production,Production,Ecotoxicity (recommended),CTUe,231.1884931
Paper Fiber,Production,Production,Eutrophication,kg N eq.,0.487520189
Paper Fiber,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,4652.712986
Paper Fiber,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,4.095062557
Paper Fiber,Production,Production,"Human toxicity, cancer (recommended)",CTUh,2.87E-05
Paper Fiber,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.003453893
Paper Fiber,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,3.54E-07
Paper Fiber,Production,Production,"Resources, Fossil fuels",MJ surplus energy,4435.906905
Paper Fiber,Production,Production,Smog Air,kg O3 eq.,224.1269104
Paper Fiber,Production,Production,Total freshwater consumption (including rainwater),kg,101388.6422
Yard Debris,Production,Composting,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-3963.416211
Yard Debris,Production,Composting,Acidification,kg SO2 eq.,0.263085144
Yard Debris,Production,Composting,Ecotoxicity (recommended),CTUe,2135.663861
Yard Debris,Production,Composting,Eutrophication,kg N eq.,0.013730616
Yard Debris,Production,Composting,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,533.7707173
Yard Debris,Production,Composting,Human Health Particulate Air,kg PM2.5 eq.,-0.110306629
Yard Debris,Production,Composting,"Human toxicity, cancer (recommended)",CTUh,6.28E-07
Yard Debris,Production,Composting,"Human toxicity, non-canc. (recommended)",CTUh,0.001769581
Yard Debris,Production,Composting,Ozone Depletion Air,kg CFC 11 eq.,-1.62E-10
Yard Debris,Production,Composting,"Resources, Fossil fuels",MJ surplus energy,-28.96162547
Yard Debris,Production,Composting,Smog Air,kg O3 eq.,-0.809296238
Yard Debris,Production,Composting,Total freshwater consumption (including rainwater),kg,-545.181372
Yard Debris,Production,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,893.2688559
Yard Debris,Production,Combustion,Acidification,kg SO2 eq.,0.537708472
Yard Debris,Production,Combustion,Ecotoxicity (recommended),CTUe,2.033628458
Yard Debris,Production,Combustion,Eutrophication,kg N eq.,0.033586032
Yard Debris,Production,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,630.5859263
Yard Debris,Production,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.037600451
Yard Debris,Production,Combustion,"Human toxicity, cancer (recommended)",CTUh,3.94E-08
Yard Debris,Production,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,3.62E-06
Yard Debris,Production,Combustion,Ozone Depletion Air,kg CFC 11 eq.,4.75E-09
Yard Debris,Production,Combustion,"Resources, Fossil fuels",MJ surplus energy,106.9636355
Yard Debris,Production,Combustion,Smog Air,kg O3 eq.,14.81447201
Yard Debris,Production,Combustion,Total freshwater consumption (including rainwater),kg,2070.575406
Yard Debris,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,358.1466001
Yard Debris,EOL,Landfilling,Acidification,kg SO2 eq.,3.028373323
Yard Debris,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.601142497
Yard Debris,EOL,Landfilling,Eutrophication,kg N eq.,1.583694395
Yard Debris,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,426.5337781
Yard Debris,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.153878115
Yard Debris,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,2.05E-07
Yard Debris,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,2.00E-05
Yard Debris,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,-8.18E-10
Yard Debris,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,62.50044262
Yard Debris,EOL,Landfilling,Smog Air,kg O3 eq.,6.783977384
Yard Debris,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-598.7855038
Yard Debris,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,37482.19494
Yard Debris,Production,Production,Acidification,kg SO2 eq.,15.62044599
Yard Debris,Production,Production,Ecotoxicity (recommended),CTUe,12698.81685
Yard Debris,Production,Production,Eutrophication,kg N eq.,16.37648074
Yard Debris,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,278.5200265
Yard Debris,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,2.645130126
Yard Debris,Production,Production,"Human toxicity, cancer (recommended)",CTUh,5.90E-05
Yard Debris,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,-3.23E-05
Yard Debris,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,8.90E-05
Yard Debris,Production,Production,"Resources, Fossil fuels",MJ surplus energy,990.3717394
Yard Debris,Production,Production,Smog Air,kg O3 eq.,85.90103898
Yard Debris,Production,Production,Total freshwater consumption (including rainwater),kg,133979.8789
Plastic Film,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Plastic Film,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Plastic Film,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Plastic Film,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Plastic Film,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Plastic Film,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Plastic Film,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Plastic Film,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Plastic Film,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Plastic Film,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Plastic Film,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Plastic Film,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Plastic Film,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Plastic Film,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Plastic Film,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Plastic Film,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Plastic Film,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Plastic Film,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Plastic Film,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Plastic Film,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Plastic Film,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Plastic Film,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Plastic Film,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Plastic Film,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Plastic Film,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-2087.587169
Plastic Film,EOL,Recycling,Acidification,kg SO2 eq.,-0.844900569
Plastic Film,EOL,Recycling,Ecotoxicity (recommended),CTUe,-73.75666764
Plastic Film,EOL,Recycling,Eutrophication,kg N eq.,-0.07082138
Plastic Film,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-150.0946511
Plastic Film,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-4.117517809
Plastic Film,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.09E-07
Plastic Film,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,0.000109384
Plastic Film,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,-9.63E-07
Plastic Film,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-137.0894116
Plastic Film,EOL,Recycling,Smog Air,kg O3 eq.,-11.43873859
Plastic Film,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-1122.342833
Plastic Film,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,13716.03497
Plastic Film,Production,Production,Acidification,kg SO2 eq.,7.824348614
Plastic Film,Production,Production,Ecotoxicity (recommended),CTUe,3665.256477
Plastic Film,Production,Production,Eutrophication,kg N eq.,1.758919528
Plastic Film,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,891.2260271
Plastic Film,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,1.375933952
Plastic Film,Production,Production,"Human toxicity, cancer (recommended)",CTUh,3.41E-05
Plastic Film,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.000217074
Plastic Film,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,0.000116206
Plastic Film,Production,Production,"Resources, Fossil fuels",MJ surplus energy,1422.528657
Plastic Film,Production,Production,Smog Air,kg O3 eq.,76.14112749
Plastic Film,Production,Production,Total freshwater consumption (including rainwater),kg,6764.870344
Wood Waste,Production,Composting,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-3963.416211
Wood Waste,Production,Composting,Acidification,kg SO2 eq.,0.263085144
Wood Waste,Production,Composting,Ecotoxicity (recommended),CTUe,2135.663861
Wood Waste,Production,Composting,Eutrophication,kg N eq.,0.013730616
Wood Waste,Production,Composting,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,533.7707173
Wood Waste,Production,Composting,Human Health Particulate Air,kg PM2.5 eq.,-0.110306629
Wood Waste,Production,Composting,"Human toxicity, cancer (recommended)",CTUh,6.28E-07
Wood Waste,Production,Composting,"Human toxicity, non-canc. (recommended)",CTUh,0.001769581
Wood Waste,Production,Composting,Ozone Depletion Air,kg CFC 11 eq.,-1.62E-10
Wood Waste,Production,Composting,"Resources, Fossil fuels",MJ surplus energy,-28.96162547
Wood Waste,Production,Composting,Smog Air,kg O3 eq.,-0.809296238
Wood Waste,Production,Composting,Total freshwater consumption (including rainwater),kg,-545.181372
Wood Waste,Production,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,893.2688559
Wood Waste,Production,Combustion,Acidification,kg SO2 eq.,0.537708472
Wood Waste,Production,Combustion,Ecotoxicity (recommended),CTUe,2.033628458
Wood Waste,Production,Combustion,Eutrophication,kg N eq.,0.033586032
Wood Waste,Production,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,630.5859263
Wood Waste,Production,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.037600451
Wood Waste,Production,Combustion,"Human toxicity, cancer (recommended)",CTUh,3.94E-08
Wood Waste,Production,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,3.62E-06
Wood Waste,Production,Combustion,Ozone Depletion Air,kg CFC 11 eq.,4.75E-09
Wood Waste,Production,Combustion,"Resources, Fossil fuels",MJ surplus energy,106.9636355
Wood Waste,Production,Combustion,Smog Air,kg O3 eq.,14.81447201
Wood Waste,Production,Combustion,Total freshwater consumption (including rainwater),kg,2070.575406
Wood Waste,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,358.1466001
Wood Waste,EOL,Landfilling,Acidification,kg SO2 eq.,3.028373323
Wood Waste,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.601142497
Wood Waste,EOL,Landfilling,Eutrophication,kg N eq.,1.583694395
Wood Waste,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,426.5337781
Wood Waste,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.153878115
Wood Waste,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,2.05E-07
Wood Waste,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,2.00E-05
Wood Waste,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,-8.18E-10
