material,LCstage,disposition,impactCategory,impactUnits,impactFactor
Cardboard/Kraft,EOL,Recycling,Primary energy from renewable resources (net cal. value),MJ,-15289.54479
Cardboard/Kraft,EOL,Recycling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-2068.250811
Cardboard/Kraft,EOL,Recycling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-2095.081959
Cardboard/Kraft,EOL,Recycling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0
Cardboard/Kraft,EOL,Recycling,Acidification,kg SO2 eq.,-16.06463206
Cardboard/Kraft,EOL,Recycling,Ecotoxicity (recommended),CTUe,-12.40291251
Cardboard/Kraft,EOL,Recycling,Eutrophication,kg N eq.,-0.207070163
Cardboard/Kraft,EOL,Recycling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,-2068.250811
Cardboard/Kraft,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-2095.081959
Cardboard/Kraft,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-2.794975042
Cardboard/Kraft,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.23E-05
Cardboard/Kraft,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,-0.002618533
Cardboard/Kraft,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,2.66E-08
Cardboard/Kraft,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-475.2210651
Cardboard/Kraft,EOL,Recycling,Smog Air,kg O3 eq.,-114.5623099
Cardboard/Kraft,EOL,Recycling,Ecotoxicity (recommended and interim),CTUe,-3692148.037
Cardboard/Kraft,EOL,Recycling,Ecotoxicity (recommended only),CTUe,-0.246762782
Cardboard/Kraft,EOL,Recycling,"Human toxicity, cancer (recommended and interim)",CTUh,-3.49E-05
Cardboard/Kraft,EOL,Recycling,"Human toxicity, cancer (recommended only)",CTUh,-1.32E-08
Cardboard/Kraft,EOL,Recycling,"Human toxicity, non-canc. (recommended and interim)",CTUh,-0.003990991
Cardboard/Kraft,EOL,Recycling,"Human toxicity, non-canc. (recommended only)",CTUh,-1.81E-09
Cardboard/Kraft,EOL,Recycling,high characterization factor for unspecified water,m3 world equiv.,-4111.917653
Cardboard/Kraft,EOL,Recycling,low characterization factor for unspecified water,m3 world equiv.,-124.9240725
Cardboard/Kraft,EOL,Recycling,OECD+BRIC average for unspecified water,m3 world equiv.,-2478.73844
Cardboard/Kraft,EOL,Recycling,Blue water consumption,kg,-72261.28004
Cardboard/Kraft,EOL,Recycling,Blue water use,kg,-17962604.23
Cardboard/Kraft,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-72539.70878
Cardboard/Kraft,EOL,Recycling,Total freshwater use,kg,-17962882.66
Cardboard/Kraft,EOL,Recycling,high characterization factor for unspecified water,m3 equiv.,-57.80902404
Cardboard/Kraft,EOL,Recycling,low characterization factor for unspecified water,m3 equiv.,-7.226128004
Cardboard/Kraft,EOL,Recycling,OECD+BRIC average for unspecified water,m3 equiv.,-24.63574916
Cardboard/Kraft,Production,Production,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,78471.25122
Cardboard/Kraft,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,73366.80729
Cardboard/Kraft,Production,Production,Primary energy from non renewable resources (gross cal. value),MJ,57180.37255
Cardboard/Kraft,Production,Production,Primary energy from non renewable resources (net cal. value),MJ,52075.92863
Cardboard/Kraft,Production,Production,Primary energy from renewable resources (gross cal. value),MJ,21290.87867
Cardboard/Kraft,Production,Production,Primary energy from renewable resources (net cal. value),MJ,21290.87867
Cardboard/Kraft,Production,Production,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,4663.241603
Cardboard/Kraft,Production,Production,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,4652.712986
Cardboard/Kraft,Production,Production,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0
Cardboard/Kraft,Production,Production,Acidification,kg SO2 eq.,25.89418936
Cardboard/Kraft,Production,Production,Ecotoxicity (recommended),CTUe,231.1884931
Cardboard/Kraft,Production,Production,Eutrophication,kg N eq.,0.487520189
Cardboard/Kraft,Production,Production,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,4663.241603
Cardboard/Kraft,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,4652.712986
Cardboard/Kraft,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,4.095062557
Cardboard/Kraft,Production,Production,"Human toxicity, cancer (recommended)",CTUh,2.87E-05
Cardboard/Kraft,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.003453893
Cardboard/Kraft,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,3.54E-07
Cardboard/Kraft,Production,Production,"Resources, Fossil fuels",MJ surplus energy,4435.906905
Cardboard/Kraft,Production,Production,Smog Air,kg O3 eq.,224.1269104
Cardboard/Kraft,Production,Production,Ecotoxicity (recommended and interim),CTUe,5148503.534
Cardboard/Kraft,Production,Production,Ecotoxicity (recommended only),CTUe,0.528450816
Cardboard/Kraft,Production,Production,"Human toxicity, cancer (recommended and interim)",CTUh,4.66E-05
Cardboard/Kraft,Production,Production,"Human toxicity, cancer (recommended only)",CTUh,1.20E-07
Cardboard/Kraft,Production,Production,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.005168929
Cardboard/Kraft,Production,Production,"Human toxicity, non-canc. (recommended only)",CTUh,5.82E-09
Cardboard/Kraft,Production,Production,high characterization factor for unspecified water,m3 world equiv.,5648.998145
Cardboard/Kraft,Production,Production,low characterization factor for unspecified water,m3 world equiv.,171.6220784
Cardboard/Kraft,Production,Production,OECD+BRIC average for unspecified water,m3 world equiv.,3405.318401
Cardboard/Kraft,Production,Production,Blue water consumption,kg,99273.34916
Cardboard/Kraft,Production,Production,Blue water use,kg,23502483.14
Cardboard/Kraft,Production,Production,Total freshwater consumption (including rainwater),kg,101388.6422
Cardboard/Kraft,Production,Production,Total freshwater use,kg,23504598.43
Cardboard/Kraft,Production,Production,high characterization factor for unspecified water,m3 equiv.,79.41867933
Cardboard/Kraft,Production,Production,low characterization factor for unspecified water,m3 equiv.,9.927334916
Cardboard/Kraft,Production,Production,OECD+BRIC average for unspecified water,m3 equiv.,33.84486583
FoodWaste,Production,Composting,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,-4005.405776
FoodWaste,Production,Composting,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-3963.416211
FoodWaste,Production,Composting,Primary energy from non renewable resources (gross cal. value),MJ,-710.179086
FoodWaste,Production,Composting,Primary energy from non renewable resources (net cal. value),MJ,-668.1895203
FoodWaste,Production,Composting,Primary energy from renewable resources (gross cal. value),MJ,-3295.22669
FoodWaste,Production,Composting,Primary energy from renewable resources (net cal. value),MJ,-3295.22669
FoodWaste,Production,Composting,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,-89.15382628
FoodWaste,Production,Composting,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,533.7869477
FoodWaste,Production,Composting,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.016230338
FoodWaste,Production,Composting,Acidification,kg SO2 eq.,0.263085144
FoodWaste,Production,Composting,Ecotoxicity (recommended),CTUe,2135.663861
FoodWaste,Production,Composting,Eutrophication,kg N eq.,0.013730616
FoodWaste,Production,Composting,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,-89.17005661
FoodWaste,Production,Composting,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,533.7707173
FoodWaste,Production,Composting,Human Health Particulate Air,kg PM2.5 eq.,-0.110306629
FoodWaste,Production,Composting,"Human toxicity, cancer (recommended)",CTUh,6.28E-07
FoodWaste,Production,Composting,"Human toxicity, non-canc. (recommended)",CTUh,0.001769581
FoodWaste,Production,Composting,Ozone Depletion Air,kg CFC 11 eq.,-1.62E-10
FoodWaste,Production,Composting,"Resources, Fossil fuels",MJ surplus energy,-28.96162547
FoodWaste,Production,Composting,Smog Air,kg O3 eq.,-0.809296238
FoodWaste,Production,Composting,Ecotoxicity (recommended and interim),CTUe,7417818.164
FoodWaste,Production,Composting,Ecotoxicity (recommended only),CTUe,-0.076482896
FoodWaste,Production,Composting,"Human toxicity, cancer (recommended and interim)",CTUh,1.18E-06
FoodWaste,Production,Composting,"Human toxicity, cancer (recommended only)",CTUh,-5.96E-09
FoodWaste,Production,Composting,"Human toxicity, non-canc. (recommended and interim)",CTUh,0.000977914
FoodWaste,Production,Composting,"Human toxicity, non-canc. (recommended only)",CTUh,-1.45E-10
FoodWaste,Production,Composting,high characterization factor for unspecified water,m3 world equiv.,14.70540161
FoodWaste,Production,Composting,low characterization factor for unspecified water,m3 world equiv.,0.140885749
FoodWaste,Production,Composting,OECD+BRIC average for unspecified water,m3 world equiv.,8.739386367
FoodWaste,Production,Composting,Blue water consumption,kg,106.7477306
FoodWaste,Production,Composting,Blue water use,kg,-569161.6959
FoodWaste,Production,Composting,Total freshwater consumption (including rainwater),kg,-545.181372
FoodWaste,Production,Composting,Total freshwater use,kg,-569813.9863
FoodWaste,Production,Composting,high characterization factor for unspecified water,m3 equiv.,0.193157289
FoodWaste,Production,Composting,low characterization factor for unspecified water,m3 equiv.,0.008377611
FoodWaste,Production,Composting,OECD+BRIC average for unspecified water,m3 equiv.,0.071975081
FoodWaste,Production,Combustion,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,974.5911339
FoodWaste,Production,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,893.2688559
FoodWaste,Production,Combustion,Primary energy from non renewable resources (gross cal. value),MJ,948.5308148
FoodWaste,Production,Combustion,Primary energy from non renewable resources (net cal. value),MJ,867.2085368
FoodWaste,Production,Combustion,Primary energy from renewable resources (gross cal. value),MJ,26.06031904
FoodWaste,Production,Combustion,Primary energy from renewable resources (net cal. value),MJ,26.06031904
FoodWaste,Production,Combustion,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,62.98765731
FoodWaste,Production,Combustion,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,630.6034522
FoodWaste,Production,Combustion,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.017525868
FoodWaste,Production,Combustion,Acidification,kg SO2 eq.,0.537708472
FoodWaste,Production,Combustion,Ecotoxicity (recommended),CTUe,2.033628458
FoodWaste,Production,Combustion,Eutrophication,kg N eq.,0.033586032
FoodWaste,Production,Combustion,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,62.97013145
FoodWaste,Production,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,630.5859263
FoodWaste,Production,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.037600451
FoodWaste,Production,Combustion,"Human toxicity, cancer (recommended)",CTUh,3.94E-08
FoodWaste,Production,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,3.62E-06
FoodWaste,Production,Combustion,Ozone Depletion Air,kg CFC 11 eq.,4.75E-09
FoodWaste,Production,Combustion,"Resources, Fossil fuels",MJ surplus energy,106.9636355
FoodWaste,Production,Combustion,Smog Air,kg O3 eq.,14.81447201
FoodWaste,Production,Combustion,Ecotoxicity (recommended and interim),CTUe,3213.808799
FoodWaste,Production,Combustion,Ecotoxicity (recommended only),CTUe,0.19463484
FoodWaste,Production,Combustion,"Human toxicity, cancer (recommended and interim)",CTUh,8.00E-06
FoodWaste,Production,Combustion,"Human toxicity, cancer (recommended only)",CTUh,2.54E-09
FoodWaste,Production,Combustion,"Human toxicity, non-canc. (recommended and interim)",CTUh,5.46E-06
FoodWaste,Production,Combustion,"Human toxicity, non-canc. (recommended only)",CTUh,1.15E-10
FoodWaste,Production,Combustion,high characterization factor for unspecified water,m3 world equiv.,112.6817629
FoodWaste,Production,Combustion,low characterization factor for unspecified water,m3 world equiv.,5.590523093
FoodWaste,Production,Combustion,OECD+BRIC average for unspecified water,m3 world equiv.,68.81432666
FoodWaste,Production,Combustion,Blue water consumption,kg,2012.041103
FoodWaste,Production,Combustion,Blue water use,kg,12189.45839
FoodWaste,Production,Combustion,Total freshwater consumption (including rainwater),kg,2070.575406
FoodWaste,Production,Combustion,Total freshwater use,kg,12319.03755
FoodWaste,Production,Combustion,high characterization factor for unspecified water,m3 equiv.,1.58600273
FoodWaste,Production,Combustion,low characterization factor for unspecified water,m3 equiv.,0.227338629
FoodWaste,Production,Combustion,OECD+BRIC average for unspecified water,m3 equiv.,0.694963639
FoodWaste,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,394.668481
FoodWaste,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,358.1466001
FoodWaste,EOL,Landfilling,Primary energy from non renewable resources (gross cal. value),MJ,461.1603103
FoodWaste,EOL,Landfilling,Primary energy from non renewable resources (net cal. value),MJ,424.6384294
FoodWaste,EOL,Landfilling,Primary energy from renewable resources (gross cal. value),MJ,-66.49182937
FoodWaste,EOL,Landfilling,Primary energy from renewable resources (net cal. value),MJ,-66.49182937
FoodWaste,EOL,Landfilling,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,279.6510112
FoodWaste,EOL,Landfilling,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,426.5587688
FoodWaste,EOL,Landfilling,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.024990786
FoodWaste,EOL,Landfilling,Acidification,kg SO2 eq.,3.028373323
FoodWaste,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.601142497
FoodWaste,EOL,Landfilling,Eutrophication,kg N eq.,1.583694395
FoodWaste,EOL,Landfilling,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,279.6260204
FoodWaste,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,426.5337781
FoodWaste,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.153878115
FoodWaste,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,2.05E-07
FoodWaste,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,2.00E-05
FoodWaste,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,-8.18E-10
FoodWaste,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,62.50044262
FoodWaste,EOL,Landfilling,Smog Air,kg O3 eq.,6.783977384
FoodWaste,EOL,Landfilling,Ecotoxicity (recommended and interim),CTUe,792.2963895
FoodWaste,EOL,Landfilling,Ecotoxicity (recommended only),CTUe,0.249391288
FoodWaste,EOL,Landfilling,"Human toxicity, cancer (recommended and interim)",CTUh,9.32E-07
FoodWaste,EOL,Landfilling,"Human toxicity, cancer (recommended only)",CTUh,3.11E-08
FoodWaste,EOL,Landfilling,"Human toxicity, non-canc. (recommended and interim)",CTUh,2.98E-05
FoodWaste,EOL,Landfilling,"Human toxicity, non-canc. (recommended only)",CTUh,1.86E-08
FoodWaste,EOL,Landfilling,high characterization factor for unspecified water,m3 world equiv.,-9.357550063
FoodWaste,EOL,Landfilling,low characterization factor for unspecified water,m3 world equiv.,-13.55594826
FoodWaste,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 world equiv.,-11.07732646
FoodWaste,EOL,Landfilling,Blue water consumption,kg,-315.3042594
FoodWaste,EOL,Landfilling,Blue water use,kg,-69904.89785
FoodWaste,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-598.7855038
FoodWaste,EOL,Landfilling,Total freshwater use,kg,-68130.13346
FoodWaste,EOL,Landfilling,high characterization factor for unspecified water,m3 equiv.,-0.13962416
FoodWaste,EOL,Landfilling,low characterization factor for unspecified water,m3 equiv.,-0.192889142
FoodWaste,EOL,Landfilling,OECD+BRIC average for unspecified water,m3 equiv.,-0.1745564
FoodWaste,Production,Production,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,40233.99106
FoodWaste,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,37482.19494
FoodWaste,Production,Production,Primary energy from non renewable resources (gross cal. value),MJ,10905.02815
FoodWaste,Production,Production,Primary energy from non renewable resources (net cal. value),MJ,10259.56249
FoodWaste,Production,Production,Primary energy from renewable resources (gross cal. value),MJ,29328.96291
FoodWaste,Production,Production,Primary energy from renewable resources (net cal. value),MJ,27222.63245
FoodWaste,Production,Production,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,1661.35229
FoodWaste,Production,Production,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,278.5880298
FoodWaste,Production,Production,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.068003265
FoodWaste,Production,Production,Acidification,kg SO2 eq.,15.62044599
FoodWaste,Production,Production,Ecotoxicity (recommended),CTUe,12698.81685
FoodWaste,Production,Production,Eutrophication,kg N eq.,16.37648074
FoodWaste,Production,Production,"Global Warming Air, excl. biogenic carbon",kg CO2 eq.,1661.284286
FoodWaste,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,278.5200265
FoodWaste,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,2.645130126
FoodWaste,Production,Production,"Human toxicity, cancer (recommended)",CTUh,5.90E-05
FoodWaste,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,-3.23E-05
FoodWaste,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,8.90E-05
FoodWaste,Production,Production,"Resources, Fossil fuels",MJ surplus energy,990.3717394
FoodWaste,Production,Production,Smog Air,kg O3 eq.,85.90103898
FoodWaste,Production,Production,Ecotoxicity (recommended and interim),CTUe,4250294.873
FoodWaste,Production,Production,Ecotoxicity (recommended only),CTUe,767.9416787
FoodWaste,Production,Production,"Human toxicity, cancer (recommended and interim)",CTUh,6.80E-05
FoodWaste,Production,Production,"Human toxicity, cancer (recommended only)",CTUh,9.23E-06
FoodWaste,Production,Production,"Human toxicity, non-canc. (recommended and interim)",CTUh,7.32E-05
FoodWaste,Production,Production,"Human toxicity, non-canc. (recommended only)",CTUh,2.01E-06
FoodWaste,Production,Production,high characterization factor for unspecified water,m3 world equiv.,-5214.952055
FoodWaste,Production,Production,low characterization factor for unspecified water,m3 world equiv.,-141.8724041
FoodWaste,Production,Production,OECD+BRIC average for unspecified water,m3 world equiv.,-3136.882937
FoodWaste,Production,Production,Blue water consumption,kg,131944.2922
FoodWaste,Production,Production,Blue water use,kg,2464761.29
FoodWaste,Production,Production,Total freshwater consumption (including rainwater),kg,133979.8789
FoodWaste,Production,Production,Total freshwater use,kg,2466797.066
FoodWaste,Production,Production,high characterization factor for unspecified water,m3 equiv.,-73.30403172
FoodWaste,Production,Production,low characterization factor for unspecified water,m3 equiv.,-8.941986655
FoodWaste,Production,Production,OECD+BRIC average for unspecified water,m3 equiv.,-31.09411532
Electronics,EOL,Combustion,Primary energy demand from ren. and non ren. resources (gross cal. value),MJ,2482.589408
Electronics,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Electronics,EOL,Combustion,Primary energy from non renewable resources (gross cal. value),MJ,2109.671999
Electronics,EOL,Combustion,Primary energy from non renewable resources (net cal. value),MJ,1941.029779
Electronics,EOL,Combustion,Primary energy from renewable resources (gross cal. value),MJ,372.9174089
Electronics,EOL,Combustion,Primary energy from renewable resources (net cal. value),MJ,372.9174089
Electronics,EOL,Combustion,"Global Warming Air, excl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,138.5456994
Electronics,EOL,Combustion,"Global Warming Air, incl biogenic carbon, incl LUC, no norm/weight",kg CO2 eq.,149.438748
Electronics,EOL,Combustion,"Global Warming Air, LUC only, no norm/weight",kg CO2 eq.,0.101220807
Electronics,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Electronics,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Electronics,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
